fold,model,R2
0,LM,0.15952564429010319
0,IDW,0.7203276181220196
0,OK,0.7008831495905135
0,RF,0.7063108575681004
0,RFK,0.7114872583388298
0,SRK,0.6879099595055744
1,LM,0.16487287801604378
1,IDW,0.7024843873728395
1,OK,0.7108102685074567
1,RF,0.6732519164165585
1,RFK,0.6882588886616599
1,SRK,0.68935728849149
2,LM,0.20189985609875838
2,IDW,0.7487063420109232
2,OK,0.7556518715876324
2,RF,0.742858442449789
2,RFK,0.756706739892273
2,SRK,0.7179993941163769
3,LM,0.2749185585537087
3,IDW,0.7418927941696949
3,OK,0.7473930673833713
3,RF,0.7165356617701415
3,RFK,0.7208824302590082
3,SRK,0.7027357322990526
4,LM,0.11018223158144635
4,IDW,0.7421780602509557
4,OK,0.7539867093279661
4,RF,0.725427787297426
4,RFK,0.7334376849122867
4,SRK,0.7345932040733847
