task,model,nugget,sill,range_m,R2_fit
yield_kgm2,Spherical,0.007060659020909431,0.04266544863156226,190.07123002284618,0.9960958963525091
yield_kgm2,Exponential,0.005049412458894769,0.05277360866661349,350.75546418904656,0.9943422983776917
yield_kgm2,Gaussian,0.01124068137941986,0.04259328606165892,157.32490588506627,0.9835476600817643
npk_ppm,Spherical,105.78274719886835,639.063201730801,194.30271336937332,0.995094783197775
npk_ppm,Exponential,76.98713953151481,801.7714373420938,368.59329173800353,0.9940881731157098
npk_ppm,Gaussian,168.18481837301863,637.3234518745699,160.49768043946776,0.9818906541737151
soil_ph,Spherical,2.149338275989439e-16,0.0022533399558521084,164.00651316329112,0.9483584770688672
soil_ph,Exponential,1.313487088608662e-16,0.002956305256362934,347.00283513751515,0.8986993396787907
soil_ph,Gaussian,2.677591791762676e-07,0.0022784291963806927,130.39740501260403,0.9772156600168407
caco3_ppm,Spherical,1.804747500348415e-30,72878.45207817403,164.63152797512035,0.9439658307360352
caco3_ppm,Exponential,1.997262946010771e-12,96042.2776310463,351.0368804997137,0.8929776485623303
caco3_ppm,Gaussian,4.1483683481614613e-10,73797.61876442905,131.3485107470513,0.9737436443831181
