variety,area_m2,area_pct,diffusers_min,diffusers_max
Mistura de castas,86330.847,24.97,3021.579645,3453.2338799999998
Touriga franca,44883.133,13.36,1570.909655,1795.32532
Touriga nacional,42932.859000000004,13.51,1502.6500650000003,1717.3143600000003
Tinta roriz,37225.307,10.12,1302.885745,1489.01228
Viosinho,36273.155,7.95,1269.560425,1450.9261999999999
Tinta amarela,25741.958,8.12,900.96853,1029.67832
Tinta barroca,23909.129,6.84,836.819515,956.3651600000001
Malvasia fina,16984.371,5.28,594.4529849999999,679.37484
Sousão,12851.51,3.47,449.80285,514.0604
Côdega de larinho,12632.439,3.79,442.135365,505.29756
Rabigato,9712.799,2.61,339.947965,388.51196000000004
